REP_PERIOD,FUND_TYP,COD_BUDGET,COD_CONS_EK,COD_CONS_EK_NAME,ZAT_AMT,PLANS_AMT,FAKT_AMT,FAKT_V2MB_AMT,FAKTSIK_AMT,FAKTSIK_V2MB_AMT,FAKTSPP_AMT,FAKTSPP_V2MB_AMT,FAKTSID_AMT,FAKTSID_V2MB_AMT,CITY
2021-01-31,C,26000000000,2410,Обслуговування внутрішніх боргових зобов'язань,91800000,91800000,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2230,Продукти харчування,470195047,470195047,2410882.87,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2610,"Субсидії та поточні трансферти підприємствам (установам, організаціям)",372517000,372517000,1035174.66,NA,1035174.66,NA,0,NA,0,NA,Kyiv
2021-01-31,C,26000000000,2800,Інші поточні видатки,28433266,28345096,178389.29,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2720,Стипендії,532400,532400,31544.89,NA,0,NA,31544.89,NA,0,NA,Kyiv
2021-01-31,C,26000000000,2273,Оплата електроенергії,324040506,321173179,3884945.28,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2271,Оплата теплопостачання,888492523,884200383,265522.9,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,3131,Капітальний ремонт житлового фонду (приміщень),397532795,400948743.4,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2282,"Окремі заходи по реалізації державних (регіональних) програм, не віднесені до заходів розвитку",257945363,260522606.1,15416929.31,NA,0,NA,15181445.24,NA,235484.07,NA,Kyiv
2021-01-31,T,26000000000,2410,Обслуговування внутрішніх боргових зобов'язань,91800000,91800000,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2274,Оплата природного газу,6871938,6872388,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2120,Нарахування на оплату праці,85707770,88510921.34,2390520.43,NA,0,NA,2368754.62,NA,21765.81,NA,Kyiv
2021-01-31,S,26000000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,1188984,1184984,1320,NA,0,NA,1320,NA,0,NA,Kyiv
2021-01-31,S,26000000000,2710,Виплата пенсій і допомоги,100000,100000,4290.93,NA,0,NA,4290.93,NA,0,NA,Kyiv
2021-01-31,T,26000000000,3240,Капітальні трансферти населенню,39591000,39591000,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",22800000,22800000,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,T,26000000000,2710,Виплата пенсій і допомоги,3469200,3469200,230143.94,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2272,Оплата водопостачання та водовідведення,113243396,113056296,138172.63,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2250,Видатки на відрядження,67857206,64323096,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2210,"Предмети, матеріали, обладнання та інвентар",208762200,209302351.8,1602883.94,NA,0,NA,1379293.7,NA,223590.24,NA,Kyiv
2021-01-31,T,26000000000,9000,Нерозподілені видатки,212371200,0,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2276,Оплата енергосервісу,17194400,17194400,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2710,Виплата пенсій і допомоги,3369200,3369200,225853.01,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,3121,Капітальне будівництво (придбання) житла,49000000,49000000,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,3210,"Капітальні трансферти підприємствам (установам, організаціям)",8553866037,7557469517,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,T,26000000000,2281,"Дослідження і розробки, окремі заходи розвитку по реалізації державних (регіональних) програм",26654006,26654006,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2111,Заробітна плата,390761295,389196184.22,10295064.78,NA,0,NA,10196129.28,NA,98935.5,NA,Kyiv
2021-01-31,T,26000000000,3210,"Капітальні трансферти підприємствам (установам, організаціям)",8553866037,7557469517,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,3131,Капітальний ремонт житлового фонду (приміщень),397532795,400948743.4,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,C,26000000000,2250,Видатки на відрядження,65829306,62368196,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,T,26000000000,2220,Медикаменти та перев'язувальні матеріали,1989807670,1989288610,29380,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,S,26000000000,2250,Видатки на відрядження,2027900,1954900,0,NA,0,NA,0,NA,0,NA,Kyiv
2021-01-31,C,26000000000,2274,Оплата природного газу,6764718,6764718,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2275,Оплата інших енергоносіїв та інших комунальних послуг,31015316,30968470,11373.98,NA,NA,NA,NA,NA,NA,NA,Kyiv
2021-01-31,C,26000000000,2420,Обслуговування зовнішніх боргових зобов'язань,303400004,303400004,0,NA,NA,NA,NA,NA,NA,NA,Kyiv
