CITY,REP_PERIOD,income,expense,core_income,op_surplus
Kryvyi Rih,2023-06-30,4866.0287886999995,4076.68186616,4179.27477565,789.3469225399995
Kryvyi Rih,2023-07-31,5702.958049729999,4720.5659031099995,4934.18501514,982.39214662
Kryvyi Rih,2023-08-31,6621.38206135,5409.58067954,5720.2758242,1211.8013818099998
Kryvyi Rih,2023-09-30,7523.76019646,6159.73594009,6489.72856969,1364.0242563699994
Kryvyi Rih,2023-10-31,8409.75060449,6822.89606481,7257.00299866,1586.85453968
Kryvyi Rih,2023-11-30,9063.22386774,7563.494613399999,7778.66794174,1499.7292543400008
Kryvyi Rih,2023-12-31,9834.89024069,8703.46577814,8461.23283398,1131.4244625499996
Kryvyi Rih,2024-01-31,687.6511350500001,392.77870348000005,600.6446610500001,294.87243157000006
Kryvyi Rih,2024-02-29,1458.4630118399998,1068.80727046,1283.4690334200002,389.6557413799999
Kryvyi Rih,2024-03-31,2169.2764027999997,NA,1880.5018413799999,NA
Kyiv,2021-01-31,4067.98710578,1815.0196323000002,3634.4009057800004,2252.96747348
Kyiv,2021-02-28,9250.69512944,5039.056606319999,8308.72792944,4211.638523120001
Kyiv,2021-03-31,15343.75063372,8439.12672348,13850.250933719999,6904.6239102399995
Kyiv,2021-04-30,20821.737443100003,11788.1400235,18733.9029431,9033.597419600002
Kyiv,2021-05-31,27257.70969406,15045.26374506,24371.67209406,12212.445948999999
Kyiv,2021-06-30,32864.86501655,19914.98614762,28591.87861655,12949.878868930002
Kyiv,2021-07-31,38622.5195525,23042.92775225,33672.6553445,15579.59180025
Kyiv,2021-08-31,44848.13205375,26095.36946961,39376.85011375,18752.76258414
Kyiv,2021-09-30,49527.84279885,30172.04793782,43308.03759585,19355.794861029997
Kyiv,2021-10-31,55461.01309132,33992.08448191,48514.14355632,21468.928609409995
Kyiv,2021-11-30,62775.62340224,38658.821325849996,54794.67412824,24116.802076390006
Kyiv,2021-12-31,70728.84592653999,47896.24570113001,60573.414727300005,22832.60022540998
Kyiv,2022-01-31,5330.37993484,1856.3430152400001,4697.8744348400005,3474.0369195999997
Kyiv,2022-02-28,12158.01877114,5945.01628184,10845.51197114,6213.002489299999
Kyiv,2022-03-31,17327.22945699,11505.83277274,15514.95925699,5821.396684250001
Kyiv,2022-04-30,21365.111688830002,13285.68497331,19053.169688830003,8079.426715520001
Kyiv,2022-05-31,27875.16884761,15966.67935175,24578.74590348,11908.48949586
Kyiv,2022-06-30,32774.39566586,19870.44242577,28736.09562173,12903.953240089999
Kyiv,2022-07-31,38967.946601699994,22657.01463704,34701.10305757,16310.931964659994
Kyiv,2022-08-31,44568.85640428,25341.825386129996,39971.1751109,19227.031018150003
Kyiv,2022-09-30,49373.50926146,28356.45651857,44080.35986808,21017.05274289
Kyiv,2022-10-31,54945.4330321,34315.8782684,49211.85433873,20629.554763699998
Kyiv,2022-11-30,61381.5740442,38735.32446375,55132.514541020006,22646.24958045
Kyiv,2022-12-31,67807.18824594001,48636.91677814,60696.05066228,19170.271467800005
Kyiv,2023-01-31,5513.95504297,1612.94274492,4992.284842970001,3901.01229805
Kyiv,2023-02-28,11539.73689957,4611.17057509,10487.97419957,6928.56632448
Kyiv,2023-03-31,18479.02140899,8880.57783948,16828.16020899,9598.44356951
Kyiv,2023-04-30,24847.340203400003,12581.71626648,22654.8004034,12265.623936920003
Kyiv,2023-05-31,32721.34785762,17203.12977719,29805.46159262,15518.21808043
Kyiv,2023-06-30,39385.84994316001,22271.915787759997,35190.578487160004,17113.93415540001
Kyiv,2023-07-31,46003.3028161,25765.83775321,41387.4501731,20237.465062889998
Kyiv,2023-08-31,53761.576270269994,29028.45295454,48543.221066269994,24733.123315729994
Kyiv,2023-09-30,59430.09878424,33830.9148235,53095.30579724,25599.183960739996
Kyiv,2023-10-31,66011.7252981,38809.39444414,58818.056359099995,27202.330853960004
Kyiv,2023-11-30,73168.68264946001,44778.20973562,65471.055651459996,28390.472913840007
Kyiv,2023-12-31,79758.85216051,54740.66757228,71246.20305972,25018.184588229997
Kyiv,2024-01-31,5903.9873561,1879.7223757000002,5436.1870561000005,4024.2649804000002
Kyiv,2024-02-29,15607.36583918,6432.27787445,14671.50503918,9175.087964729999
Kyiv,2024-03-31,24968.71456439,10910.278304399999,23512.316764389998,14058.436259990001
Kyiv,2024-04-30,31873.39428413,14825.16956533,29844.62158413,17048.224718800004
Kyiv,2024-05-31,40695.50099463,20073.10059042,38099.57159463,20622.40040421
Kyiv,2024-06-30,47996.890674430004,25552.68082854,44166.99297443,22444.209845890004
Kyiv,2024-07-31,56511.11391057,30071.76961414,52084.067363550006,26439.344296429997
Lutsk,2021-01-31,174.03419867,141.28315938,140.93994966999998,32.751039289999994
Lutsk,2021-02-28,381.09317111,319.50432503,309.39042411,61.588846079999996
Lutsk,2021-03-31,580.92487274,499.83554626,468.90063018,81.08932647999995
Lutsk,2021-04-30,802.40331392,687.36725426,642.83864792,115.03605965999998
Lutsk,2021-05-31,1027.14868126,854.48068512,810.8859724600001,172.66799614000013
Lutsk,2021-06-30,1306.88115218,1134.1004648500002,983.60538538,172.78068732999986
Lutsk,2021-07-31,1506.9595423199999,1248.05632343,1159.44166952,258.90321888999983
Lutsk,2021-08-31,1713.05116929,1387.9583965699999,1328.8354554500002,325.0927727200001
Lutsk,2021-09-30,1937.26751341,1574.73800153,1482.18311992,362.52951188
Lutsk,2021-10-31,2190.39095902,1757.7821359000002,1684.42378703,432.6088231199999
Lutsk,2021-11-30,2440.5902781100003,1946.11815545,1873.9118487,494.4721226600004
Lutsk,2021-12-31,2841.88529975,2341.41163148,2083.15081325,500.47366826999996
Lutsk,2022-01-31,214.7210485,160.90035916,167.3580625,53.82068934
Lutsk,2022-02-28,476.81984645999995,361.55736992000004,381.99668846,115.26247653999991
Lutsk,2022-03-31,686.4766175599999,557.3916088299999,543.26767791,129.08500873000003
Lutsk,2022-04-30,906.4744796,713.11033397,712.5447504199999,193.36414562999994
Lutsk,2022-05-31,1165.25389103,870.0189146700001,910.6173608500001,295.2349763599999
Lutsk,2022-06-30,1476.98939133,1101.3790506500002,1124.6567671500002,375.6103406799998
Lutsk,2022-07-31,1715.59262677,1266.62942531,1342.3117355699999,448.96320145999994
Lutsk,2022-08-31,1946.8964686000002,1392.02927784,1552.60665144,554.8671907600001
Lutsk,2022-09-30,2194.33765069,1569.4286123299999,1758.33029921,624.9090383600001
Lutsk,2022-10-31,2465.9898081300003,1780.91725274,1988.61759617,685.0725553900002
Lutsk,2022-11-30,2733.92798746,1983.1677641499998,2213.60151627,750.7602233100004
Lutsk,2022-12-31,3072.95896558,2417.6288169299996,2505.2419800899997,655.3301486500004
Lutsk,2023-01-31,267.24340867,139.47812693,225.30033167,127.76528174
Lutsk,2023-02-28,579.1960724300001,361.40913391000004,495.30001543000003,217.78693852000004
Lutsk,2023-03-31,839.29901751,617.8111581899999,713.50363114,221.4878593200001
Lutsk,2023-04-30,1103.38310223,823.01142346,935.81129049,280.37167877000013
Lutsk,2023-05-31,1411.63271427,1066.46682896,1183.8090366,345.16588531
Lutsk,2023-06-30,1829.28171069,1421.60059127,1493.92420027,407.68111941999996
Lutsk,2023-07-31,2113.79652424,1576.0238465999998,1742.3466908199998,537.7726776400002
Lutsk,2023-08-31,2384.00501517,1774.92620953,1991.96740275,609.0788056400002
Lutsk,2023-09-30,2661.76709664,2036.37116295,2224.7198294299997,625.39593369
Lutsk,2023-10-31,2976.62640439,2260.29349783,2497.2713959000002,716.3329065600001
Lutsk,2023-11-30,3245.0468664299997,2532.27898207,2718.11614994,712.7678843599997
Lutsk,2023-12-31,3563.8280382400003,3044.9681847,2993.81185934,518.8598535400001
Lutsk,2024-01-31,283.72084971,154.03034785999998,237.75234971,129.69050185
Lutsk,2024-02-29,583.2836303099999,409.24274713,491.19415557,174.04088317999992
Lutsk,2024-03-31,856.9100928400001,669.79023984,715.2288890699999,187.11985300000003
Lutsk,2024-04-30,1193.15184376,916.18208699,995.64780834,276.96975677
Lutsk,2024-05-31,1528.6132565,1162.40596926,1274.74780974,366.20728724000014
Lutsk,2024-06-30,1931.89993849,1523.427866,1545.32638585,408.4720724900001
Lutsk,2024-07-31,2278.0880586900003,1718.97479853,1822.21597179,559.1132601600002
Lviv,2021-01-31,690.2145096,408.72106799,598.8732096,281.49344161000005
Lviv,2021-02-28,1603.87738341,1017.9025716900001,1397.18394141,585.9748117199999
Lviv,2021-03-31,2337.6323467599996,1665.92262699,2015.08898876,671.7097197699995
Lviv,2021-04-30,3213.6645591399997,2367.76035737,2777.38601014,845.9042017699999
Lviv,2021-05-31,4096.65705858,2929.92553352,3509.24990104,1166.73152506
Lviv,2021-06-30,5091.47592821,3840.0224728499998,4212.88596851,1251.4534553600006
Lviv,2021-07-31,5970.36131099,4475.36352642,5039.23532069,1494.9977845699996
Lviv,2021-08-31,6883.0952014,4899.52128234,5887.51532554,1983.5739190600007
Lviv,2021-09-30,7678.55213269,5495.41808139,6529.59190245,2183.1340512999996
Lviv,2021-10-31,8701.723013789999,6251.2155171800005,7417.50079479,2450.5074966099983
Lviv,2021-11-30,9745.02528599,6941.84610073,8300.243675489999,2803.179185259999
Lviv,2021-12-31,11205.62675059,8655.90926541,9191.99405565,2549.717485179999
Lviv,2022-01-31,899.91648748,400.13231124000004,768.69246748,499.78417623999997
Lviv,2022-02-28,2019.66731554,1192.6257400299999,1756.83026554,827.04157551
Lviv,2022-03-31,2872.64843924,1926.11127107,2478.08348252,946.5371681699999
Lviv,2022-04-30,3893.17558565,2565.86009748,3366.93992562,1327.3154881699998
