REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,C,24552000000,602300,Інші розрахунки,0,-6671.03,Chernivtsi
2021-01-31,T,24552000000,602304,Інші розрахунки,0,19134290.75,Chernivtsi
2021-01-31,C,24552000000,600000,Фінансування за активними операціями,-168080200,-62796420.33,Chernivtsi
2021-01-31,T,24552000000,601210,Розміщення бюджетних коштів на депозитах,-185023799,-185023799,Chernivtsi
2021-01-31,S,24552000000,602000,Зміни обсягів бюджетних коштів,168437200,56534913.07,Chernivtsi
2021-01-31,T,24552000000,602200,На кінець періоду,0,267084504.65,Chernivtsi
2021-01-31,S,24552000000,602300,Інші розрахунки,0,19140961.78,Chernivtsi
2021-01-31,C,24552000000,602304,Інші розрахунки,0,-6671.03,Chernivtsi
2021-01-31,T,24552000000,401000,Запозичення,65550000,0,Chernivtsi
2021-01-31,C,24552000000,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-131000000,-131000000,Chernivtsi
2021-01-31,S,24552000000,402000,Погашення,-37833300,0,Chernivtsi
2021-01-31,T,24552000000,402000,Погашення,-37833300,0,Chernivtsi
2021-01-31,S,24552000000,600000,Фінансування за активними операціями,168437200,2535584.07,Chernivtsi
2021-01-31,T,24552000000,601110,Повернення бюджетних коштів з депозитів,185023799,36139470,Chernivtsi
2021-01-31,C,24552000000,602000,Зміни обсягів бюджетних коштів,-168080200,32088579.67,Chernivtsi
2021-01-31,C,24552000000,602100,На початок періоду,357000,286239611.18,Chernivtsi
2021-01-31,S,24552000000,602200,На кінець періоду,0,20236492.86,Chernivtsi
2021-01-31,T,24552000000,602300,Інші розрахунки,0,19134290.75,Chernivtsi
2021-01-31,T,24552000000,600000,Фінансування за активними операціями,357000,-60260836.26,Chernivtsi
2021-01-31,S,24552000000,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-53999329,Chernivtsi
2021-01-31,S,24552000000,602100,На початок періоду,0,50334095.46,Chernivtsi
2021-01-31,T,24552000000,602100,На початок періоду,357000,336573706.64,Chernivtsi
2021-01-31,C,24552000000,601110,Повернення бюджетних коштів з депозитів,131000000,36115000,Chernivtsi
2021-01-31,T,24552000000,400000,Фінансування за борговими операціями,27716700,0,Chernivtsi
2021-01-31,S,24552000000,401000,Запозичення,65550000,0,Chernivtsi
2021-01-31,T,24552000000,401200,Зовнішні запозичення,65550000,0,Chernivtsi
2021-01-31,T,24552000000,401201,Довгострокові зобов'язання,65550000,0,Chernivtsi
2021-01-31,T,24552000000,402201,Довгострокові зобов'язання,-37833300,0,Chernivtsi
2021-01-31,C,24552000000,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-94885000,Chernivtsi
2021-01-31,T,24552000000,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-148884329,Chernivtsi
2021-01-31,S,24552000000,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",54023799,24470,Chernivtsi
2021-01-31,T,24552000000,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-185023799,-185023799,Chernivtsi
2021-01-31,T,24552000000,602000,Зміни обсягів бюджетних коштів,357000,88623492.74,Chernivtsi
2021-01-31,S,24552000000,402201,Довгострокові зобов'язання,-37833300,0,Chernivtsi
2021-01-31,S,04576000000,402000,Погашення,-677145042,-56424569.67,Dnipro
2021-01-31,C,04576000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-1894193357,-105754287.27,Dnipro
2021-01-31,T,04576000000,600000,Фінансування за активними операціями,0,-463177313.42,Dnipro
2021-01-31,T,04576000000,602200,На кінець періоду,0,780622669.71,Dnipro
2021-01-31,S,04576000000,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",1894193357,105754287.27,Dnipro
2021-01-31,T,04576000000,401101,Довгострокові зобов'язання,33004656,9807920,Dnipro
2021-01-31,S,04576000000,402101,Довгострокові зобов'язання,-312000000,-56424569.67,Dnipro
2021-01-31,T,04576000000,402101,Довгострокові зобов'язання,-312000000,-56424569.67,Dnipro
2021-01-31,T,04576000000,402102,Середньострокові зобов'язання,-365145042,0,Dnipro
2021-01-31,T,04576000000,602000,Зміни обсягів бюджетних коштів,0,-463177313.42,Dnipro
2021-01-31,S,04576000000,401000,Запозичення,33004656,9807920,Dnipro
2021-01-31,T,04576000000,602100,На початок періоду,0,239716880.27,Dnipro
2021-01-31,T,04576000000,602304,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,T,04576000000,401100,Внутрішні запозичення,33004656,9807920,Dnipro
2021-01-31,S,04576000000,402100,Внутрішні зобов'язання,-677145042,-56424569.67,Dnipro
2021-01-31,S,04576000000,602200,На кінець періоду,0,241201329.18,Dnipro
2021-01-31,S,04576000000,400000,Фінансування за борговими операціями,-644140386,-46616649.67,Dnipro
2021-01-31,T,04576000000,402100,Внутрішні зобов'язання,-677145042,-56424569.67,Dnipro
2021-01-31,T,04576000000,602300,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,S,04576000000,401100,Внутрішні запозичення,33004656,9807920,Dnipro
2021-01-31,S,04576000000,401101,Довгострокові зобов'язання,33004656,9807920,Dnipro
2021-01-31,S,04576000000,402102,Середньострокові зобов'язання,-365145042,0,Dnipro
